Chandrayaan2_Pass,Crater_ID,Confidence,Real_Lunar_Latitude,Real_Lunar_Longitude,Latitude_Decimal,Longitude_Decimal,Real_Diameter_km,Center_X_px,Center_Y_px,Bounding_Box
ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Crater #1,48.6%,27.23°S,0.00°W,-27.2345,-0.0041,280.25,87,7168,"[0, 6608, 174, 7729]"
ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Crater #2,42.3%,21.33°S,0.00°W,-21.3308,-0.0041,433.25,87,6452,"[0, 5586, 174, 7319]"
ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Crater #3,41.1%,24.36°N,0.00°W,24.3569,-0.0041,379.5,87,911,"[0, 152, 174, 1670]"
ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Crater #4,36.5%,12.16°N,0.00°W,12.1619,-0.0041,413.5,87,2390,"[0, 1563, 174, 3217]"
ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Crater #5,36.4%,12.57°S,0.00°W,-12.5742,-0.0041,442.0,87,5390,"[0, 4506, 174, 6274]"
ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Crater #6,35.8%,3.24°S,0.00°W,-3.2404,-0.0041,461.25,87,4258,"[0, 3336, 174, 5181]"
ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Crater #7,34.2%,4.06°N,0.00°W,4.065,-0.0041,431.0,87,3372,"[0, 2510, 174, 4234]"
ch2_iir_nri_20200204T1820539437_b_brw_g26.png,CH2_Crater #1,50.6%,28.53°N,0.00°W,28.529,-0.0041,176.75,87,353,"[0, 0, 174, 707]"
ch2_iir_nri_20200204T1820539437_b_brw_g26.png,CH2_Crater #2,47.3%,26.72°S,0.00°W,-26.7233,-0.0041,285.25,87,7054,"[0, 6484, 174, 7625]"
ch2_iir_nri_20200204T1820539437_b_brw_g26.png,CH2_Crater #3,40.3%,17.69°N,0.00°W,17.6946,-0.0041,377.25,87,1667,"[0, 913, 174, 2422]"
ch2_iir_nri_20200204T1820539437_b_brw_g26.png,CH2_Crater #4,39.4%,21.59°S,0.00°W,-21.5947,-0.0041,378.25,87,6432,"[0, 5676, 174, 7189]"
ch2_iir_nri_20200204T1820539437_b_brw_g26.png,CH2_Crater #5,39.3%,26.48°N,0.00°W,26.4759,-0.0041,296.25,87,602,"[0, 10, 174, 1195]"
ch2_iir_nri_20200204T1820539437_b_brw_g26.png,CH2_Crater #6,37.0%,11.34°N,0.00°W,11.3374,-0.0041,403.75,87,2438,"[0, 1631, 174, 3246]"
ch2_iir_nri_20200204T1820539437_b_brw_g26.png,CH2_Crater #7,32.4%,10.67°S,0.00°W,-10.6695,-0.0041,444.0,87,5107,"[0, 4219, 174, 5995]"
ch2_iir_nri_20200204T1820539437_b_brw_g26.png,CH2_Crater #8,31.0%,0.77°N,0.00°W,0.7668,-0.0041,425.75,87,3720,"[0, 2869, 174, 4572]"
ch2_iir_nri_20210720T2333026105_b_brw_d32.png,CH2_Crater #1,46.5%,24.30°S,0.00°W,-24.2991,-0.0041,242.75,87,6381,"[0, 5896, 174, 6867]"
ch2_iir_nri_20210720T2333026105_b_brw_d32.png,CH2_Crater #2,40.9%,10.28°N,0.00°W,10.282,-0.0041,339.25,87,2187,"[0, 1509, 174, 2866]"
ch2_iir_nri_20210720T2333026105_b_brw_d32.png,CH2_Crater #3,40.1%,19.06°S,0.00°W,-19.0633,-0.0041,376.25,87,5746,"[0, 4994, 174, 6499]"
ch2_iir_nri_20210720T2333026105_b_brw_d32.png,CH2_Crater #4,40.0%,25.59°N,0.00°W,25.5937,-0.0041,165.25,87,330,"[0, 0, 174, 661]"
ch2_iir_nri_20210720T2333026105_b_brw_d32.png,CH2_Crater #5,38.1%,21.67°N,0.00°W,21.6689,-0.0041,296.75,87,806,"[0, 213, 174, 1400]"
ch2_iir_nri_20210720T2333026105_b_brw_d32.png,CH2_Crater #6,38.1%,9.89°S,0.00°W,-9.8945,-0.0041,373.75,87,4634,"[0, 3887, 174, 5382]"
ch2_iir_nri_20210720T2333026105_b_brw_d32.png,CH2_Crater #7,37.6%,1.15°N,0.00°W,1.1461,-0.0041,380.0,87,3295,"[0, 2535, 174, 4055]"
