ISRO_Instrument,Chandrayaan2_Pass_File,Crater_ID,Confidence,Real_Lunar_Latitude,Real_Lunar_Longitude,Latitude_Decimal,Longitude_Decimal,Real_Diameter_km,Spatial_Resolution_m_per_px,Center_X_px,Center_Y_px,Bounding_Box
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Pass1_Crater#1,48.6%,27.23°S,0.00°W,-27.2345,-0.0041,280.25,250.0,87,7168,"[0, 6608, 174, 7729]"
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Pass1_Crater#2,42.3%,21.33°S,0.00°W,-21.3308,-0.0041,433.25,250.0,87,6452,"[0, 5586, 174, 7319]"
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Pass1_Crater#3,41.1%,24.36°N,0.00°W,24.3569,-0.0041,379.5,250.0,87,911,"[0, 152, 174, 1670]"
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Pass1_Crater#4,36.5%,12.16°N,0.00°W,12.1619,-0.0041,413.5,250.0,87,2390,"[0, 1563, 174, 3217]"
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Pass1_Crater#5,36.4%,12.57°S,0.00°W,-12.5742,-0.0041,442.0,250.0,87,5390,"[0, 4506, 174, 6274]"
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Pass1_Crater#6,35.8%,3.24°S,0.00°W,-3.2404,-0.0041,461.25,250.0,87,4258,"[0, 3336, 174, 5181]"
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Pass1_Crater#7,34.2%,4.06°N,0.00°W,4.065,-0.0041,431.0,250.0,87,3372,"[0, 2510, 174, 4234]"
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Pass1_Crater#8,29.7%,28.78°N,0.00°W,28.7846,-0.0041,187.0,250.0,87,374,"[0, 0, 174, 748]"
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200108T0600069064_b_brw_gds.png,CH2_Pass1_Crater#9,25.2%,18.63°N,0.00°W,18.6263,-0.0041,315.75,250.0,87,1606,"[0, 975, 174, 2238]"
ISRO IIR (Imaging Infrared Spectrometer),ch2_iir_nri_20200204T1820539437_b_brw_g26.png,CH2_Pass2_Crater#1,50.6%,28.53°N,0.00°W,28.529,-0.0041,176.75,250.0,87,353,"[0, 0, 174, 707]"
