Pass_ID,Center_Latitude,Center_Longitude,Resolution,Craters_Detected,Overlay_Map
ch2_iir_nri_20200108T0600069064_b_brw_gds.png,0.00°,0.00°,250.0 m/px,7,chandrayaan2_full_pass_1_craters.png
ch2_iir_nri_20200204T1820539437_b_brw_g26.png,0.00°,0.00°,250.0 m/px,8,chandrayaan2_full_pass_2_craters.png
ch2_iir_nri_20210720T2333026105_b_brw_d32.png,0.00°,0.00°,250.0 m/px,7,chandrayaan2_full_pass_3_craters.png
ch2_iir_nri_20240524T1710004919_b_brw_d18.png,0.00°,0.00°,250.0 m/px,5,chandrayaan2_full_pass_4_craters.png
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,0.00°,0.00°,250.0 m/px,8,chandrayaan2_full_pass_5_craters.png
ch2_iir_nri_20250901T1227583326_b_brw_d18.png,0.00°,0.00°,250.0 m/px,8,chandrayaan2_full_pass_6_craters.png
ch2_iir_nri_20191230T2120101468_b_brw_d18.png,0.00°,0.00°,250.0 m/px,4,chandrayaan2_full_pass_7_craters.png
ch2_iir_nri_20210712T1444184106_b_brw_hw1.png,0.00°,0.00°,250.0 m/px,9,chandrayaan2_full_pass_8_craters.png
ch2_iir_nri_20240516T0107451214_b_brw_d18.png,0.00°,0.00°,250.0 m/px,8,chandrayaan2_full_pass_9_craters.png
ch2_iir_nri_20240612T0843061256_b_brw_d18.png,0.00°,0.00°,250.0 m/px,7,chandrayaan2_full_pass_10_craters.png
