Crater_ID,Confidence,Center_X_px,Center_Y_px,Radius_px,Diameter_px,Bounding_Box
Crater #1,49.2%,593,433,357,714,"[255, 76, 931, 790]"
Crater #2,56.8%,281,395,362,724,"[0, 33, 562, 758]"
Crater #3,77.7%,352,785,276,552,"[76, 546, 629, 1024]"
Crater #4,83.2%,271,650,247,494,"[24, 404, 519, 896]"
Crater #5,89.0%,570,266,246,492,"[324, 24, 817, 509]"
Crater #6,73.4%,710,677,245,490,"[465, 435, 955, 920]"
Crater #7,66.8%,793,433,253,506,"[569, 180, 1017, 686]"
Crater #8,72.5%,162,300,273,546,"[0, 27, 324, 574]"
Crater #9,73.7%,489,848,232,464,"[257, 672, 722, 1024]"
Crater #10,60.8%,675,414,193,386,"[485, 221, 866, 608]"
Crater #11,84.9%,834,570,186,372,"[650, 384, 1018, 757]"
Crater #12,49.2%,660,869,205,410,"[455, 715, 866, 1024]"
Crater #13,63.5%,881,830,193,386,"[740, 637, 1023, 1023]"
Crater #14,58.4%,201,497,160,320,"[42, 337, 361, 658]"
Crater #15,85.8%,517,145,169,338,"[348, 0, 686, 290]"
Crater #16,40.7%,97,432,248,496,"[0, 184, 195, 680]"
Crater #17,52.7%,334,448,155,310,"[183, 293, 486, 603]"
Crater #18,70.5%,268,890,170,340,"[98, 756, 439, 1024]"
Crater #19,78.4%,420,306,151,302,"[269, 156, 571, 457]"
Crater #20,62.0%,834,426,152,304,"[688, 274, 981, 579]"
Crater #21,76.4%,104,770,203,406,"[0, 567, 209, 973]"
Crater #22,82.0%,261,384,145,290,"[118, 239, 404, 529]"
Crater #23,69.7%,89,226,221,442,"[0, 5, 179, 447]"
Crater #24,69.3%,823,135,146,292,"[677, 0, 969, 271]"
Crater #25,72.4%,190,702,139,278,"[53, 563, 327, 841]"
Crater #26,60.1%,666,760,139,278,"[530, 621, 803, 900]"
Crater #27,87.2%,826,257,138,276,"[689, 119, 964, 395]"
Crater #28,89.1%,610,699,135,270,"[476, 564, 745, 834]"
Crater #29,73.8%,473,632,128,256,"[346, 504, 601, 761]"
Crater #30,49.9%,805,838,127,254,"[678, 711, 933, 965]"
Crater #31,73.6%,632,137,128,256,"[504, 10, 760, 264]"
Crater #32,41.8%,684,662,126,252,"[560, 536, 809, 788]"
Crater #33,49.3%,250,217,125,250,"[127, 92, 373, 342]"
Crater #34,58.5%,380,555,121,242,"[260, 434, 500, 676]"
Crater #35,63.2%,168,911,122,244,"[46, 800, 290, 1022]"
Crater #36,65.3%,323,298,114,228,"[209, 184, 438, 412]"
Crater #37,43.1%,948,740,167,334,"[873, 573, 1023, 907]"
Crater #38,82.8%,386,120,112,224,"[274, 9, 498, 231]"
Crater #39,81.1%,133,107,117,234,"[16, 1, 250, 214]"
Crater #40,56.6%,333,610,113,226,"[223, 497, 443, 723]"
Crater #41,59.9%,397,447,113,226,"[284, 337, 510, 557]"
Crater #42,86.2%,108,614,113,226,"[0, 501, 217, 727]"
Crater #43,67.5%,484,936,138,276,"[346, 850, 623, 1023]"
Crater #44,73.6%,483,771,107,214,"[376, 664, 590, 878]"
Crater #45,40.0%,625,564,108,216,"[517, 459, 734, 669]"
Crater #46,86.3%,153,831,105,210,"[48, 728, 259, 935]"
Crater #47,80.1%,918,919,105,210,"[813, 816, 1023, 1023]"
Crater #48,89.1%,395,749,103,206,"[292, 646, 499, 852]"
Crater #49,53.3%,257,445,103,206,"[154, 342, 361, 548]"
Crater #50,64.7%,897,641,102,204,"[795, 539, 999, 744]"
Crater #51,79.5%,531,374,99,198,"[432, 275, 631, 473]"
Crater #52,75.0%,922,138,101,202,"[824, 37, 1020, 239]"
Crater #53,66.5%,643,938,115,230,"[528, 853, 759, 1024]"
Crater #54,57.7%,248,938,112,224,"[136, 852, 361, 1024]"
Crater #55,53.0%,292,145,98,196,"[195, 47, 390, 243]"
Crater #56,50.3%,100,747,99,198,"[4, 648, 197, 846]"
Crater #57,58.9%,599,401,99,198,"[500, 306, 699, 496]"
Crater #58,56.3%,694,515,97,194,"[599, 418, 790, 613]"
Crater #59,46.1%,511,571,97,194,"[415, 474, 607, 668]"
Crater #60,79.8%,546,790,93,186,"[453, 698, 640, 883]"
Crater #61,71.5%,781,96,93,186,"[688, 5, 874, 188]"
Crater #62,58.4%,96,862,91,182,"[5, 771, 187, 953]"
Crater #63,48.5%,833,951,109,218,"[724, 879, 943, 1024]"
Crater #64,45.6%,61,130,128,256,"[0, 2, 123, 258]"
Crater #65,55.0%,79,926,96,192,"[0, 830, 158, 1023]"
Crater #66,67.7%,506,81,94,188,"[412, 0, 600, 163]"
Crater #67,85.4%,97,279,86,172,"[11, 193, 184, 366]"
Crater #68,70.2%,254,309,86,172,"[169, 223, 339, 395]"
Crater #69,83.8%,903,395,85,170,"[818, 311, 988, 479]"
Crater #70,86.0%,98,434,84,168,"[15, 350, 181, 518]"
Crater #71,64.9%,672,100,83,166,"[589, 18, 755, 182]"
Crater #72,80.1%,767,698,81,162,"[686, 617, 849, 780]"
Crater #73,52.0%,510,461,82,164,"[428, 381, 592, 541]"
Crater #74,86.6%,641,803,81,162,"[561, 722, 721, 884]"
Crater #75,73.2%,77,545,85,170,"[1, 460, 153, 631]"
Crater #76,88.4%,937,683,80,160,"[857, 603, 1017, 764]"
Crater #77,81.8%,337,710,80,160,"[258, 630, 417, 791]"
Crater #78,75.9%,90,192,80,160,"[10, 113, 170, 272]"
Crater #79,42.1%,727,229,80,160,"[647, 151, 807, 308]"
Crater #80,47.2%,45,795,126,252,"[0, 669, 90, 922]"
Crater #81,54.5%,857,325,76,152,"[784, 249, 931, 401]"
Crater #82,49.2%,907,307,74,148,"[834, 233, 981, 381]"
Crater #83,42.2%,352,331,75,150,"[277, 260, 427, 403]"
Crater #84,63.5%,168,384,73,146,"[96, 311, 241, 457]"
Crater #85,76.4%,911,86,72,144,"[839, 15, 983, 157]"
Crater #86,78.9%,362,72,72,144,"[290, 2, 434, 143]"
Crater #87,70.5%,131,665,71,142,"[60, 595, 202, 736]"
Crater #88,73.1%,112,963,81,162,"[31, 903, 194, 1023]"
Crater #89,83.3%,434,701,70,140,"[364, 631, 504, 771]"
Crater #90,78.3%,117,571,70,140,"[48, 501, 187, 641]"
Crater #91,56.9%,857,624,69,138,"[788, 555, 927, 694]"
Crater #92,68.3%,304,965,82,164,"[222, 908, 387, 1023]"
Crater #93,73.5%,720,597,68,136,"[652, 529, 788, 666]"
