Crater_ID,Confidence,Center_X_px,Center_Y_px,Width_px,Height_px,Bounding_Box
Crater #1,89.1%,610,699,269,270,"[476, 564, 745, 834]"
Crater #2,89.1%,395,749,207,206,"[292, 646, 499, 852]"
Crater #3,89.0%,570,266,493,485,"[324, 24, 817, 509]"
Crater #4,88.4%,937,683,160,161,"[857, 603, 1017, 764]"
Crater #5,87.2%,826,257,275,276,"[689, 119, 964, 395]"
Crater #6,86.6%,641,803,160,162,"[561, 722, 721, 884]"
Crater #7,86.3%,153,831,211,207,"[48, 728, 259, 935]"
Crater #8,86.2%,108,614,217,226,"[0, 501, 217, 727]"
Crater #9,86.0%,98,434,166,168,"[15, 350, 181, 518]"
Crater #10,85.4%,97,279,173,173,"[11, 193, 184, 366]"
Crater #11,85.3%,724,185,129,128,"[660, 121, 789, 249]"
Crater #12,84.9%,834,570,368,373,"[650, 384, 1018, 757]"
Crater #13,83.8%,903,395,170,168,"[818, 311, 988, 479]"
Crater #14,83.2%,271,650,495,492,"[24, 404, 519, 896]"
Crater #15,82.8%,386,120,224,222,"[274, 9, 498, 231]"
Crater #16,82.6%,882,585,118,118,"[823, 526, 941, 644]"
Crater #17,82.0%,261,384,286,290,"[118, 239, 404, 529]"
Crater #18,81.1%,133,107,234,213,"[16, 1, 250, 214]"
Crater #19,80.1%,918,919,210,207,"[813, 816, 1023, 1023]"
Crater #20,80.1%,767,698,163,163,"[686, 617, 849, 780]"
Crater #21,79.8%,546,790,187,185,"[453, 698, 640, 883]"
Crater #22,79.5%,531,374,199,198,"[432, 275, 631, 473]"
Crater #23,78.4%,420,306,302,301,"[269, 156, 571, 457]"
Crater #24,76.8%,335,709,157,159,"[257, 630, 414, 789]"
Crater #25,76.4%,911,86,144,142,"[839, 15, 983, 157]"
Crater #26,76.4%,104,770,209,406,"[0, 567, 209, 973]"
Crater #27,75.9%,90,192,160,159,"[10, 113, 170, 272]"
Crater #28,75.9%,488,839,484,367,"[246, 656, 730, 1023]"
Crater #29,75.6%,948,196,133,131,"[882, 131, 1015, 262]"
Crater #30,75.3%,857,53,109,104,"[803, 1, 912, 105]"
Crater #31,74.6%,885,162,109,109,"[831, 108, 940, 217]"
Crater #32,73.9%,396,49,95,93,"[349, 3, 444, 96]"
Crater #33,73.9%,737,424,75,73,"[700, 388, 775, 461]"
Crater #34,73.8%,473,632,255,257,"[346, 504, 601, 761]"
Crater #35,73.6%,632,137,256,254,"[504, 10, 760, 264]"
Crater #36,73.5%,720,597,136,137,"[652, 529, 788, 666]"
Crater #37,73.5%,458,44,100,88,"[408, 0, 508, 88]"
Crater #38,73.5%,297,615,111,108,"[242, 561, 353, 669]"
Crater #39,73.1%,112,963,163,120,"[31, 903, 194, 1023]"
Crater #40,72.5%,162,300,324,547,"[0, 27, 324, 574]"
Crater #41,71.9%,552,558,91,90,"[507, 513, 598, 603]"
Crater #42,71.8%,222,869,72,71,"[186, 834, 258, 905]"
Crater #43,71.8%,489,751,146,145,"[416, 679, 562, 824]"
Crater #44,71.5%,781,96,186,183,"[688, 5, 874, 188]"
Crater #45,71.4%,942,504,121,122,"[882, 443, 1003, 565]"
Crater #46,71.1%,700,682,469,490,"[466, 437, 935, 927]"
Crater #47,70.7%,76,545,150,166,"[1, 462, 151, 628]"
Crater #48,70.6%,194,700,267,273,"[61, 564, 328, 837]"
Crater #49,70.5%,268,889,341,267,"[98, 756, 439, 1023]"
Crater #50,70.2%,254,309,170,172,"[169, 223, 339, 395]"
Crater #51,68.3%,155,779,117,118,"[97, 720, 214, 838]"
Crater #52,68.3%,304,965,165,115,"[222, 908, 387, 1023]"
Crater #53,67.7%,506,81,188,163,"[412, 0, 600, 163]"
Crater #54,67.5%,484,936,277,173,"[346, 850, 623, 1023]"
