Crater_ID,Confidence,Real_Lunar_Latitude,Real_Lunar_Longitude,Latitude_Decimal,Longitude_Decimal,Real_Diameter_km,Center_X_px,Center_Y_px,Official_IAU_Name
Crater #1,89.1%,44.85°S,10.25°W,-44.8517,-10.2496,67.5,610,699,Uncataloged Impact Crater
Crater #2,89.1%,45.26°S,12.69°W,-45.2639,-12.6856,51.75,395,749,Uncataloged Impact Crater
Crater #3,89.0%,41.28°S,10.70°W,-41.2819,-10.7028,123.25,570,266,IAU: Sasserides Crater
Crater #4,88.4%,44.72°S,6.54°W,-44.7198,-6.5447,40.25,937,683,Uncataloged Impact Crater
Crater #5,87.2%,41.21°S,7.80°W,-41.2077,-7.8023,69.0,826,257,IAU: Pictet Crater
Crater #6,86.6%,45.71°S,9.90°W,-45.7091,-9.8984,40.5,641,803,IAU: Street Crater
Crater #7,86.3%,45.94°S,15.43°W,-45.94,-15.4276,52.75,153,831,Uncataloged Impact Crater
Crater #8,86.2%,44.15°S,15.94°W,-44.1509,-15.9374,56.5,108,614,Uncataloged Impact Crater
Crater #9,86.0%,42.67°S,16.05°W,-42.6669,-16.0507,42.0,98,434,Uncataloged Impact Crater
Crater #10,85.4%,41.39°S,16.06°W,-41.389,-16.062,43.25,97,279,Uncataloged Impact Crater
Crater #11,85.3%,40.61°S,8.96°W,-40.6141,-8.958,32.25,724,185,Uncataloged Impact Crater
Crater #12,84.9%,43.79°S,7.71°W,-43.7882,-7.7117,93.25,834,570,Uncataloged Impact Crater
Crater #13,83.8%,42.35°S,6.93°W,-42.3454,-6.9299,42.5,903,395,Uncataloged Impact Crater
Crater #14,83.2%,44.45°S,14.09°W,-44.4477,-14.0906,123.75,271,650,Uncataloged Impact Crater
Crater #15,82.8%,40.08°S,12.79°W,-40.0782,-12.7876,56.0,386,120,Uncataloged Impact Crater
Crater #16,82.6%,43.91°S,7.17°W,-43.9118,-7.1678,29.5,882,585,Uncataloged Impact Crater
Crater #17,82.0%,42.25°S,14.20°W,-42.2547,-14.2039,72.5,261,384,Uncataloged Impact Crater
Crater #18,81.1%,39.97°S,15.65°W,-39.971,-15.6542,58.5,133,107,Uncataloged Impact Crater
Crater #19,80.1%,46.67°S,6.76°W,-46.6655,-6.7599,52.5,918,919,Uncataloged Impact Crater
Crater #20,80.1%,44.84°S,8.47°W,-44.8435,-8.4708,40.75,767,698,Uncataloged Impact Crater
Crater #21,79.8%,45.60°S,10.97°W,-45.602,-10.9748,46.75,546,790,IAU: Street Crater
Crater #22,79.5%,42.17°S,11.14°W,-42.1723,-11.1447,49.75,531,374,Uncataloged Impact Crater
Crater #23,78.4%,41.61°S,12.40°W,-41.6116,-12.4024,75.5,420,306,Uncataloged Impact Crater
Crater #24,76.8%,44.93°S,13.37°W,-44.9342,-13.3654,39.75,335,709,Uncataloged Impact Crater
Crater #25,76.4%,39.80°S,6.84°W,-39.7979,-6.8392,36.0,911,86,Uncataloged Impact Crater
Crater #26,76.4%,45.44°S,15.98°W,-45.4371,-15.9827,101.5,104,770,Uncataloged Impact Crater
Crater #27,75.9%,40.67°S,16.14°W,-40.6718,-16.1414,40.0,90,192,Uncataloged Impact Crater
Crater #28,75.9%,46.01°S,11.63°W,-46.0059,-11.6319,121.0,488,839,Uncataloged Impact Crater
Crater #29,75.6%,40.70°S,6.42°W,-40.7047,-6.42,33.25,948,196,Uncataloged Impact Crater
Crater #30,75.3%,39.53°S,7.45°W,-39.5258,-7.4511,27.25,857,53,Uncataloged Impact Crater
Crater #31,74.6%,40.42°S,7.13°W,-40.4244,-7.1338,27.25,885,162,Uncataloged Impact Crater
Crater #32,73.9%,39.49°S,12.67°W,-39.4928,-12.6743,23.75,396,49,Uncataloged Impact Crater
Crater #33,73.9%,42.58°S,8.81°W,-42.5845,-8.8107,18.75,737,424,Uncataloged Impact Crater
Crater #34,73.8%,44.30°S,11.80°W,-44.2993,-11.8019,64.25,473,632,Uncataloged Impact Crater
Crater #35,73.6%,40.22°S,10.00°W,-40.2183,-10.0004,64.0,632,137,IAU: Sasserides Crater
Crater #36,73.5%,44.01°S,9.00°W,-44.0108,-9.0033,34.25,720,597,Uncataloged Impact Crater
Crater #37,73.5%,39.45°S,11.97°W,-39.4516,-11.9718,25.0,458,44,Uncataloged Impact Crater
Crater #38,73.5%,44.16°S,13.80°W,-44.1592,-13.796,27.75,297,615,Uncataloged Impact Crater
Crater #39,73.1%,47.03°S,15.89°W,-47.0283,-15.8921,40.75,112,963,Uncataloged Impact Crater
Crater #40,72.5%,41.56°S,15.33°W,-41.5622,-15.3256,136.75,162,300,Uncataloged Impact Crater
Crater #41,71.9%,43.69°S,10.91°W,-43.6892,-10.9068,22.75,552,558,IAU: Tycho (Main Rim)
Crater #42,71.8%,46.25°S,14.65°W,-46.2533,-14.6458,18.0,222,869,Uncataloged Impact Crater
Crater #43,71.8%,45.28°S,11.62°W,-45.2804,-11.6206,36.5,489,751,Uncataloged Impact Crater
Crater #44,71.5%,39.88°S,8.31°W,-39.8803,-8.3122,46.5,781,96,Uncataloged Impact Crater
Crater #45,71.4%,43.24°S,6.49°W,-43.244,-6.488,30.5,942,504,Uncataloged Impact Crater
Crater #46,71.1%,44.71°S,9.23°W,-44.7116,-9.2299,122.5,700,682,Uncataloged Impact Crater
Crater #47,70.7%,43.58°S,16.30°W,-43.5821,-16.3,41.5,76,545,Uncataloged Impact Crater
Crater #48,70.6%,44.86°S,14.96°W,-44.86,-14.963,68.25,194,700,Uncataloged Impact Crater
Crater #49,70.5%,46.42°S,14.12°W,-46.4182,-14.1246,85.25,268,889,Uncataloged Impact Crater
Crater #50,70.2%,41.64°S,14.28°W,-41.6364,-14.2832,43.0,254,309,Uncataloged Impact Crater
Crater #51,68.3%,45.51°S,15.40°W,-45.5113,-15.4049,29.5,155,779,Uncataloged Impact Crater
Crater #52,68.3%,47.04°S,13.72°W,-47.0447,-13.7167,41.25,304,965,Uncataloged Impact Crater
Crater #53,67.7%,39.76°S,11.43°W,-39.7566,-11.428,47.0,506,81,Uncataloged Impact Crater
Crater #54,67.5%,46.81°S,11.68°W,-46.8057,-11.6772,69.25,484,936,Uncataloged Impact Crater
Crater #55,67.1%,42.95°S,6.11°W,-42.9472,-6.1141,24.0,975,468,Uncataloged Impact Crater
Crater #56,66.6%,39.62°S,14.40°W,-39.6247,-14.3965,29.75,244,65,IAU: Brown Crater
Crater #57,66.5%,46.82°S,9.88°W,-46.8221,-9.8757,57.75,643,938,Uncataloged Impact Crater
Crater #58,65.2%,40.06°S,9.18°W,-40.0617,-9.1846,21.0,704,118,Uncataloged Impact Crater
Crater #59,65.0%,42.59°S,9.76°W,-42.5927,-9.7624,29.75,653,425,Uncataloged Impact Crater
Crater #60,63.5%,42.25°S,15.26°W,-42.2547,-15.2576,36.5,168,384,Uncataloged Impact Crater
Crater #61,62.8%,42.53°S,9.49°W,-42.5268,-9.4905,97.75,677,417,Uncataloged Impact Crater
Crater #62,62.8%,44.31°S,9.52°W,-44.3076,-9.5245,22.0,674,633,Uncataloged Impact Crater
Crater #63,62.0%,42.60°S,7.71°W,-42.601,-7.7117,76.25,834,426,Uncataloged Impact Crater
Crater #64,61.8%,41.23°S,6.37°W,-41.2324,-6.3747,34.5,952,260,Uncataloged Impact Crater
Crater #65,61.2%,44.79°S,11.55°W,-44.794,-11.5526,25.5,495,692,Uncataloged Impact Crater
Crater #66,59.9%,42.77°S,12.66°W,-42.7741,-12.663,56.5,397,447,Uncataloged Impact Crater
Crater #67,59.8%,41.88°S,16.30°W,-41.8837,-16.3,26.0,76,339,Uncataloged Impact Crater
Crater #68,59.1%,45.80°S,16.04°W,-45.7998,-16.0394,24.25,99,814,Uncataloged Impact Crater
Crater #69,58.6%,42.87°S,9.25°W,-42.873,-9.2526,32.5,698,459,Uncataloged Impact Crater
Crater #70,58.5%,43.66°S,12.86°W,-43.6645,-12.8556,60.5,380,555,Uncataloged Impact Crater
Crater #71,58.4%,43.19°S,14.88°W,-43.1863,-14.8837,80.25,201,497,Uncataloged Impact Crater
Crater #72,57.3%,44.68°S,12.87°W,-44.6786,-12.8669,23.0,379,678,Uncataloged Impact Crater
Crater #73,57.2%,39.44°S,10.37°W,-39.4433,-10.3743,22.75,599,43,Uncataloged Impact Crater
Crater #74,57.1%,46.58°S,16.25°W,-46.5831,-16.2547,39.75,80,909,Uncataloged Impact Crater
Crater #75,56.7%,45.21°S,7.25°W,-45.2062,-7.2471,29.75,875,742,Uncataloged Impact Crater
Crater #76,56.3%,43.33°S,9.30°W,-43.3347,-9.2979,48.75,694,515,Uncataloged Impact Crater
Crater #77,55.2%,45.76°S,7.03°W,-45.7586,-7.0319,28.0,894,809,Uncataloged Impact Crater
Crater #78,55.0%,44.23°S,13.00°W,-44.2251,-13.0029,41.0,367,623,Uncataloged Impact Crater
Crater #79,54.8%,42.21°S,13.24°W,-42.2135,-13.2408,33.75,346,379,Uncataloged Impact Crater
Crater #80,54.5%,41.77°S,7.45°W,-41.7683,-7.4511,38.0,857,325,IAU: Pictet Crater
Crater #81,54.4%,47.09°S,12.72°W,-47.0942,-12.7196,28.5,392,971,Uncataloged Impact Crater
Crater #82,54.0%,39.54°S,13.48°W,-39.5423,-13.4788,22.0,325,55,Uncataloged Impact Crater
Crater #83,53.7%,45.38°S,12.20°W,-45.3794,-12.1984,17.25,438,763,Uncataloged Impact Crater
Crater #84,53.7%,47.27°S,11.60°W,-47.2673,-11.5979,39.5,491,992,Uncataloged Impact Crater
Crater #85,53.1%,44.83°S,7.10°W,-44.827,-7.0998,20.0,888,696,Uncataloged Impact Crater
Crater #86,53.0%,40.28°S,13.85°W,-40.2843,-13.8526,49.0,292,145,IAU: Brown Crater
Crater #87,52.8%,40.62°S,13.71°W,-40.6223,-13.7054,28.0,305,186,IAU: Brown Crater
Crater #88,52.7%,44.57°S,12.21°W,-44.5714,-12.2098,24.0,437,665,Uncataloged Impact Crater
