Crater_ID,Confidence,Center_X_px,Center_Y_px,Radius_px,Diameter_px,Bounding_Box
Crater #1,77.7%,581,330,177,354,"[404, 157, 759, 503]"
Crater #2,56.0%,734,432,191,382,"[543, 290, 926, 575]"
Crater #3,84.0%,291,436,126,252,"[165, 310, 417, 562]"
Crater #4,55.2%,450,321,108,216,"[342, 214, 559, 429]"
Crater #5,49.1%,359,309,108,216,"[255, 201, 464, 418]"
Crater #6,71.2%,884,356,105,210,"[780, 251, 989, 461]"
Crater #7,69.6%,391,186,103,206,"[291, 83, 492, 290]"
Crater #8,59.7%,652,104,104,208,"[553, 0, 751, 209]"
Crater #9,55.7%,911,95,101,202,"[810, 0, 1013, 191]"
Crater #10,85.5%,568,223,98,196,"[470, 125, 666, 321]"
Crater #11,83.2%,911,238,98,196,"[813, 141, 1010, 335]"
Crater #12,76.8%,682,401,98,196,"[585, 303, 779, 500]"
Crater #13,61.0%,95,117,99,198,"[0, 18, 191, 217]"
Crater #14,81.5%,501,244,98,196,"[405, 146, 598, 342]"
Crater #15,52.5%,774,217,97,194,"[678, 120, 870, 314]"
Crater #16,70.6%,184,200,97,194,"[90, 103, 279, 297]"
Crater #17,52.9%,871,442,97,194,"[777, 345, 965, 539]"
Crater #18,43.9%,436,464,94,188,"[344, 370, 528, 558]"
Crater #19,57.6%,392,119,90,180,"[302, 32, 483, 206]"
Crater #20,79.6%,593,280,88,176,"[505, 192, 682, 368]"
Crater #21,47.3%,100,460,88,176,"[12, 373, 188, 548]"
Crater #22,71.9%,778,461,86,172,"[693, 375, 863, 548]"
Crater #23,46.5%,777,282,86,172,"[691, 197, 863, 368]"
Crater #24,82.3%,188,116,85,170,"[103, 31, 273, 202]"
Crater #25,58.3%,280,156,86,172,"[196, 70, 364, 242]"
Crater #26,62.1%,778,371,86,172,"[695, 285, 862, 458]"
Crater #27,63.9%,691,300,85,170,"[607, 215, 775, 385]"
Crater #28,57.1%,589,411,84,168,"[505, 329, 674, 493]"
Crater #29,76.6%,313,73,87,174,"[226, 0, 400, 147]"
Crater #30,57.0%,538,428,80,160,"[459, 348, 617, 508]"
Crater #31,42.0%,504,482,80,160,"[424, 403, 584, 561]"
Crater #32,80.4%,303,482,80,160,"[224, 402, 382, 562]"
Crater #33,42.1%,530,109,79,158,"[454, 30, 606, 188]"
Crater #34,53.1%,170,403,78,156,"[93, 325, 247, 481]"
Crater #35,40.6%,407,342,77,154,"[330, 267, 485, 417]"
Crater #36,49.7%,681,233,77,154,"[604, 158, 759, 308]"
Crater #37,59.2%,856,172,75,150,"[783, 97, 929, 248]"
Crater #38,64.8%,363,435,74,148,"[290, 361, 436, 510]"
Crater #39,41.6%,965,116,91,182,"[907, 25, 1024, 207]"
Crater #40,40.8%,250,472,74,148,"[179, 398, 322, 546]"
Crater #41,80.1%,596,480,70,140,"[526, 411, 666, 550]"
Crater #42,60.0%,962,486,78,156,"[900, 408, 1024, 564]"
Crater #43,58.0%,952,224,71,142,"[884, 153, 1020, 295]"
Crater #44,56.5%,674,497,68,136,"[606, 429, 742, 565]"
Crater #45,75.2%,908,432,66,132,"[842, 367, 974, 497]"
Crater #46,47.9%,939,51,84,168,"[855, 0, 1023, 102]"
Crater #47,57.7%,140,83,66,132,"[75, 17, 205, 149]"
Crater #48,66.4%,228,353,64,128,"[164, 289, 292, 417]"
Crater #49,54.4%,400,246,65,130,"[338, 181, 463, 311]"
Crater #50,55.3%,839,251,62,124,"[777, 189, 902, 314]"
Crater #51,43.0%,970,343,72,144,"[917, 271, 1023, 415]"
Crater #52,75.4%,737,500,62,124,"[676, 438, 798, 563]"
Crater #53,40.8%,884,394,61,122,"[823, 334, 945, 455]"
Crater #54,53.5%,427,408,61,122,"[367, 347, 488, 469]"
Crater #55,62.2%,669,439,59,118,"[610, 380, 728, 499]"
Crater #56,73.8%,892,490,59,118,"[834, 431, 950, 550]"
Crater #57,40.3%,830,401,59,118,"[772, 342, 889, 460]"
Crater #58,47.0%,773,419,59,118,"[715, 360, 831, 478]"
Crater #59,55.6%,467,510,59,118,"[410, 451, 525, 569]"
Crater #60,65.0%,348,262,59,118,"[290, 203, 406, 321]"
Crater #61,57.1%,118,152,59,118,"[59, 95, 178, 210]"
Crater #62,65.7%,490,421,58,116,"[433, 363, 548, 480]"
Crater #63,73.2%,730,455,58,116,"[672, 397, 788, 514]"
Crater #64,42.9%,914,347,58,116,"[857, 289, 972, 406]"
Crater #65,49.7%,368,343,58,116,"[310, 286, 427, 401]"
Crater #66,49.7%,334,506,58,116,"[276, 449, 393, 564]"
Crater #67,74.0%,851,513,58,116,"[793, 456, 909, 571]"
Crater #68,66.4%,456,255,57,114,"[399, 198, 513, 312]"
Crater #69,63.2%,226,442,57,114,"[170, 385, 282, 499]"
Crater #70,67.5%,928,393,56,112,"[872, 337, 985, 450]"
Crater #71,40.7%,150,509,56,112,"[94, 453, 206, 565]"
Crater #72,60.4%,252,111,55,110,"[197, 56, 308, 167]"
Crater #73,66.7%,595,200,55,110,"[540, 146, 650, 255]"
Crater #74,44.6%,389,390,54,108,"[335, 336, 443, 445]"
Crater #75,61.0%,444,158,54,108,"[390, 104, 498, 213]"
Crater #76,72.9%,643,285,54,108,"[589, 231, 697, 339]"
Crater #77,53.2%,52,506,54,108,"[1, 452, 103, 561]"
Crater #78,72.8%,218,87,53,106,"[165, 35, 271, 139]"
Crater #79,55.8%,622,509,52,104,"[570, 457, 674, 561]"
Crater #80,56.3%,260,53,52,104,"[208, 2, 312, 105]"
Crater #81,81.7%,335,394,52,104,"[284, 342, 387, 446]"
Crater #82,50.6%,424,342,51,102,"[374, 291, 475, 394]"
Crater #83,67.8%,945,304,50,100,"[896, 254, 994, 354]"
Crater #84,47.2%,47,433,53,106,"[0, 380, 94, 486]"
Crater #85,52.4%,142,203,50,100,"[92, 154, 192, 253]"
Crater #86,82.2%,716,172,49,98,"[667, 123, 766, 221]"
Crater #87,47.7%,828,302,49,98,"[779, 253, 878, 351]"
Crater #88,47.6%,730,48,50,100,"[680, 0, 781, 96]"
Crater #89,54.8%,730,408,49,98,"[681, 359, 779, 457]"
Crater #90,48.1%,305,121,48,96,"[257, 73, 354, 169]"
Crater #91,44.5%,976,393,50,100,"[931, 343, 1022, 444]"
Crater #92,41.1%,568,449,48,96,"[520, 402, 616, 496]"
Crater #93,51.1%,612,237,47,94,"[566, 190, 659, 285]"
Crater #94,48.1%,451,369,47,94,"[404, 323, 499, 416]"
Crater #95,54.6%,493,376,46,92,"[447, 330, 540, 423]"
Crater #96,47.7%,948,46,47,94,"[901, 0, 995, 93]"
Crater #97,59.6%,591,55,46,92,"[545, 9, 638, 102]"
Crater #98,44.0%,317,236,46,92,"[272, 190, 362, 283]"
Crater #99,50.9%,672,205,46,92,"[626, 160, 718, 250]"
Crater #100,46.6%,985,244,52,104,"[946, 192, 1024, 297]"
Crater #101,67.1%,832,140,45,90,"[787, 96, 878, 185]"
Crater #102,61.6%,552,379,45,90,"[507, 334, 598, 424]"
Crater #103,45.3%,857,40,47,94,"[810, 0, 905, 81]"
Crater #104,43.2%,632,335,44,88,"[588, 292, 677, 379]"
Crater #105,57.6%,834,371,44,88,"[790, 327, 878, 415]"
Crater #106,46.0%,974,295,43,86,"[931, 252, 1018, 339]"
Crater #107,57.7%,770,149,43,86,"[728, 106, 813, 193]"
Crater #108,50.0%,792,43,44,88,"[748, 2, 836, 85]"
Crater #109,51.3%,550,160,43,86,"[507, 118, 593, 203]"
Crater #110,40.7%,443,225,42,84,"[401, 183, 486, 268]"
Crater #111,67.6%,746,530,42,84,"[704, 488, 788, 573]"
Crater #112,45.8%,300,200,42,84,"[259, 158, 342, 242]"
Crater #113,57.5%,479,50,42,84,"[437, 8, 522, 92]"
Crater #114,58.1%,986,47,47,94,"[949, 0, 1024, 94]"
Crater #115,60.8%,731,264,42,84,"[689, 223, 773, 305]"
Crater #116,67.2%,319,171,41,82,"[278, 130, 360, 213]"
Crater #117,41.6%,480,160,41,82,"[439, 119, 522, 201]"
Crater #118,58.5%,606,169,42,84,"[565, 127, 647, 211]"
Crater #119,59.3%,382,528,41,82,"[341, 487, 424, 570]"
Crater #120,41.0%,583,155,41,82,"[542, 115, 625, 196]"
Crater #121,40.5%,486,316,41,82,"[445, 275, 527, 357]"
Crater #122,54.2%,733,350,40,80,"[693, 311, 774, 390]"
Crater #123,70.4%,540,211,40,80,"[500, 171, 580, 252]"
Crater #124,46.8%,513,147,39,78,"[474, 108, 553, 186]"
Crater #125,44.9%,897,536,39,78,"[858, 497, 937, 575]"
Crater #126,44.9%,565,525,39,78,"[526, 486, 604, 564]"
Crater #127,50.3%,951,526,39,78,"[914, 487, 989, 565]"
Crater #128,43.8%,1005,477,76,152,"[987, 401, 1024, 554]"
Crater #129,58.6%,740,146,37,74,"[704, 109, 777, 183]"
Crater #130,41.5%,821,536,36,72,"[785, 500, 857, 572]"
Crater #131,43.7%,1004,418,66,132,"[985, 352, 1024, 484]"
