Crater_ID,Confidence,Center_X_px,Center_Y_px,Width_px,Height_px,Bounding_Box
Crater #1,85.5%,568,223,196,196,"[470, 125, 666, 321]"
Crater #2,84.0%,291,436,252,252,"[165, 310, 417, 562]"
Crater #3,83.2%,911,238,197,194,"[813, 141, 1010, 335]"
Crater #4,82.3%,188,116,170,171,"[103, 31, 273, 202]"
Crater #5,82.2%,716,172,99,98,"[667, 123, 766, 221]"
Crater #6,81.7%,335,394,103,104,"[284, 342, 387, 446]"
Crater #7,80.1%,596,480,140,139,"[526, 411, 666, 550]"
Crater #8,77.7%,581,330,355,346,"[404, 157, 759, 503]"
Crater #9,76.8%,682,401,194,197,"[585, 303, 779, 500]"
Crater #10,76.6%,313,73,174,147,"[226, 0, 400, 147]"
Crater #11,75.4%,737,500,122,125,"[676, 438, 798, 563]"
Crater #12,75.2%,908,432,132,130,"[842, 367, 974, 497]"
Crater #13,74.0%,851,513,116,115,"[793, 456, 909, 571]"
Crater #14,72.9%,643,285,108,108,"[589, 231, 697, 339]"
Crater #15,71.9%,778,461,170,173,"[693, 375, 863, 548]"
Crater #16,71.2%,884,356,209,210,"[780, 251, 989, 461]"
Crater #17,70.6%,184,200,189,194,"[90, 103, 279, 297]"
Crater #18,70.4%,540,211,80,81,"[500, 171, 580, 252]"
Crater #19,69.6%,391,186,201,207,"[291, 83, 492, 290]"
Crater #20,67.8%,945,304,98,100,"[896, 254, 994, 354]"
Crater #21,67.2%,893,490,116,117,"[835, 432, 951, 549]"
Crater #22,67.2%,319,171,82,83,"[278, 130, 360, 213]"
Crater #23,67.1%,832,140,91,89,"[787, 96, 878, 185]"
Crater #24,67.1%,331,508,114,116,"[274, 450, 388, 566]"
Crater #25,66.7%,595,200,110,109,"[540, 146, 650, 255]"
Crater #26,66.4%,456,255,114,114,"[399, 198, 513, 312]"
Crater #27,66.4%,228,353,128,128,"[164, 289, 292, 417]"
Crater #28,65.7%,490,421,115,117,"[433, 363, 548, 480]"
Crater #29,65.0%,348,262,116,118,"[290, 203, 406, 321]"
Crater #30,64.8%,363,435,146,149,"[290, 361, 436, 510]"
Crater #31,63.9%,691,300,168,170,"[607, 215, 775, 385]"
Crater #32,63.2%,226,442,112,114,"[170, 385, 282, 499]"
Crater #33,62.1%,778,371,167,173,"[695, 285, 862, 458]"
Crater #34,61.6%,552,379,91,90,"[507, 334, 598, 424]"
Crater #35,61.0%,95,117,191,199,"[0, 18, 191, 217]"
Crater #36,61.0%,444,158,108,109,"[390, 104, 498, 213]"
Crater #37,60.8%,731,264,84,82,"[689, 223, 773, 305]"
Crater #38,60.4%,252,111,111,111,"[197, 56, 308, 167]"
Crater #39,60.0%,961,486,123,156,"[900, 408, 1023, 564]"
Crater #40,59.7%,652,104,198,209,"[553, 0, 751, 209]"
Crater #41,59.6%,591,55,93,93,"[545, 9, 638, 102]"
Crater #42,59.3%,382,528,83,83,"[341, 487, 424, 570]"
Crater #43,58.6%,740,146,73,74,"[704, 109, 777, 183]"
Crater #44,58.1%,986,47,74,94,"[949, 0, 1023, 94]"
Crater #45,58.0%,668,439,114,115,"[611, 382, 725, 497]"
Crater #46,57.6%,834,371,88,88,"[790, 327, 878, 415]"
Crater #47,57.5%,479,50,85,84,"[437, 8, 522, 92]"
Crater #48,57.1%,589,411,169,164,"[505, 329, 674, 493]"
Crater #49,56.5%,674,497,136,136,"[606, 429, 742, 565]"
Crater #50,56.3%,260,53,104,103,"[208, 2, 312, 105]"
Crater #51,56.0%,734,432,383,284,"[543, 290, 926, 574]"
Crater #52,55.7%,911,95,203,191,"[810, 0, 1013, 191]"
Crater #53,55.6%,467,510,115,118,"[410, 451, 525, 569]"
Crater #54,55.3%,839,251,125,125,"[777, 189, 902, 314]"
Crater #55,55.2%,450,321,217,215,"[342, 214, 559, 429]"
Crater #56,54.8%,730,408,98,98,"[681, 359, 779, 457]"
Crater #57,54.6%,493,376,93,93,"[447, 330, 540, 423]"
Crater #58,54.4%,400,246,125,130,"[338, 181, 463, 311]"
Crater #59,54.2%,733,350,81,79,"[693, 311, 774, 390]"
Crater #60,53.5%,427,408,121,122,"[367, 347, 488, 469]"
Crater #61,53.2%,52,506,102,109,"[1, 452, 103, 561]"
Crater #62,53.1%,170,403,154,156,"[93, 325, 247, 481]"
Crater #63,52.5%,774,217,192,194,"[678, 120, 870, 314]"
Crater #64,52.4%,142,203,100,99,"[92, 154, 192, 253]"
Crater #65,51.3%,550,160,86,85,"[507, 118, 593, 203]"
Crater #66,50.9%,672,205,92,90,"[626, 160, 718, 250]"
Crater #67,50.6%,424,342,101,103,"[374, 291, 475, 394]"
Crater #68,50.5%,276,161,177,181,"[188, 71, 365, 252]"
Crater #69,50.3%,951,526,75,78,"[914, 487, 989, 565]"
Crater #70,50.0%,792,43,88,83,"[748, 2, 836, 85]"
Crater #71,49.7%,368,343,117,115,"[310, 286, 427, 401]"
Crater #72,48.7%,119,152,115,113,"[62, 96, 177, 209]"
Crater #73,48.6%,348,311,224,220,"[236, 201, 460, 421]"
Crater #74,48.1%,305,121,97,96,"[257, 73, 354, 169]"
Crater #75,47.7%,828,302,99,98,"[779, 253, 878, 351]"
Crater #76,47.7%,948,46,94,93,"[901, 0, 995, 93]"
Crater #77,47.6%,730,48,101,96,"[680, 0, 781, 96]"
Crater #78,47.3%,100,460,176,175,"[12, 373, 188, 548]"
Crater #79,47.2%,47,433,94,106,"[0, 380, 94, 486]"
Crater #80,46.8%,513,147,79,78,"[474, 108, 553, 186]"
Crater #81,46.6%,984,244,77,105,"[946, 192, 1023, 297]"
Crater #82,45.8%,300,200,83,84,"[259, 158, 342, 242]"
Crater #83,45.3%,857,40,95,81,"[810, 0, 905, 81]"
Crater #84,44.9%,897,535,79,77,"[858, 497, 937, 574]"
Crater #85,44.9%,565,525,78,78,"[526, 486, 604, 564]"
Crater #86,44.5%,976,393,91,101,"[931, 343, 1022, 444]"
Crater #87,43.9%,436,464,184,188,"[344, 370, 528, 558]"
Crater #88,43.8%,1005,477,36,153,"[987, 401, 1023, 554]"
Crater #89,43.2%,632,335,89,87,"[588, 292, 677, 379]"
Crater #90,42.9%,914,347,115,117,"[857, 289, 972, 406]"
Crater #91,42.1%,530,109,152,158,"[454, 30, 606, 188]"
Crater #92,41.5%,821,536,72,72,"[785, 500, 857, 572]"
Crater #93,41.4%,717,224,115,115,"[660, 167, 775, 282]"
Crater #94,40.7%,150,509,112,112,"[94, 453, 206, 565]"
Crater #95,40.5%,486,316,82,82,"[445, 275, 527, 357]"
Crater #96,39.9%,1001,107,43,124,"[980, 45, 1023, 169]"
Crater #97,38.9%,350,92,79,77,"[311, 54, 390, 131]"
Crater #98,38.8%,494,196,169,169,"[410, 112, 579, 281]"
Crater #99,38.6%,341,137,92,90,"[295, 92, 387, 182]"
Crater #100,37.8%,76,291,153,231,"[0, 176, 153, 407]"
Crater #101,37.5%,543,554,63,39,"[512, 535, 575, 574]"
Crater #102,37.5%,450,373,88,88,"[406, 329, 494, 417]"
Crater #103,37.4%,796,93,151,159,"[721, 14, 872, 173]"
Crater #104,37.2%,33,75,67,127,"[0, 12, 67, 139]"
Crater #105,37.2%,223,507,102,102,"[172, 456, 274, 558]"
Crater #106,36.9%,16,338,32,130,"[0, 273, 32, 403]"
Crater #107,36.8%,981,342,83,118,"[940, 283, 1023, 401]"
Crater #108,36.5%,272,226,90,92,"[227, 180, 317, 272]"
